drug,cell_line,gCSI IC50
ms275,NCI-H889,0.1
paclitaxel,NCI-H889,0.09
pd0325901,NCI-H889,20
rapamycin,NCI-H889,0.1
thapsigargin,NCI-H889,0.24
vinblastine,NCI-H889,NaN
vorinostat,NCI-H889,1.33
bid1870,HCC1143,10
bortezomib,HCC1143,0.03
crizotinib,HCC1143,1
dasatinib,HCC1143,0.1
docetaxel,HCC1143,0.01
doxorubicin,HCC1143,0.78
erlotinib,HCC1143,10
gdc0941,HCC1143,10
gemcitabine,HCC1143,0
irinotecan,HCC1143,20
lapatinib,HCC1143,20
ms275,HCC1143,0.1
paclitaxel,HCC1143,0.02
pd0325901,HCC1143,1.1
rapamycin,HCC1143,0.1
thapsigargin,HCC1143,0.09
vinblastine,HCC1143,0.06
vorinostat,HCC1143,1.6
bid1870,HCC1187,10
bortezomib,HCC1187,0.01
crizotinib,HCC1187,1
dasatinib,HCC1187,NaN
docetaxel,HCC1187,0.01
doxorubicin,HCC1187,0.76
erlotinib,HCC1187,10
gdc0941,HCC1187,10
gemcitabine,HCC1187,1
irinotecan,HCC1187,20
lapatinib,HCC1187,20
ms275,HCC1187,0.1
paclitaxel,HCC1187,0.02
pd0325901,HCC1187,20
rapamycin,HCC1187,0.1
thapsigargin,HCC1187,0.31
vinblastine,HCC1187,NaN
vorinostat,HCC1187,2.09
bid1870,HCC1419,10
bortezomib,HCC1419,0.12
crizotinib,HCC1419,1
dasatinib,HCC1419,0.1
docetaxel,HCC1419,0.3
doxorubicin,HCC1419,20
erlotinib,HCC1419,10
gdc0941,HCC1419,10
gemcitabine,HCC1419,1
irinotecan,HCC1419,20
lapatinib,HCC1419,20
ms275,HCC1419,0.1
paclitaxel,HCC1419,3
pd0325901,HCC1419,20
rapamycin,HCC1419,0.1
thapsigargin,HCC1419,1
vinblastine,HCC1419,0.1
vorinostat,HCC1419,5.82
bid1870,HCC-15,10
bortezomib,HCC-15,0.02
crizotinib,HCC-15,1
dasatinib,HCC-15,0.1
docetaxel,HCC-15,0
doxorubicin,HCC-15,0.49
erlotinib,HCC-15,10
gdc0941,HCC-15,10
gemcitabine,HCC-15,0.02
irinotecan,HCC-15,5.6
lapatinib,HCC-15,8.2
ms275,HCC-15,0.1
paclitaxel,HCC-15,0.01
pd0325901,HCC-15,0.05
rapamycin,HCC-15,0.1
thapsigargin,HCC-15,0.04
vinblastine,HCC-15,0.01
vorinostat,HCC-15,2.53
bid1870,HCC1569,NaN
bortezomib,HCC1569,NaN
crizotinib,HCC1569,NaN
dasatinib,HCC1569,NaN
docetaxel,HCC1569,NaN
doxorubicin,HCC1569,NaN
erlotinib,HCC1569,NaN
gdc0941,HCC1569,NaN
gemcitabine,HCC1569,NaN
irinotecan,HCC1569,NaN
lapatinib,HCC1569,NaN
ms275,HCC1569,NaN
paclitaxel,HCC1569,NaN
pd0325901,HCC1569,NaN
rapamycin,HCC1569,NaN
thapsigargin,HCC1569,NaN
vinblastine,HCC1569,NaN
vorinostat,HCC1569,NaN
bid1870,HCC1806,10
bortezomib,HCC1806,0.13
crizotinib,HCC1806,1
dasatinib,HCC1806,0.06
docetaxel,HCC1806,0
doxorubicin,HCC1806,0.43
erlotinib,HCC1806,0.32
gdc0941,HCC1806,10
gemcitabine,HCC1806,0
irinotecan,HCC1806,0.89
lapatinib,HCC1806,1.37
ms275,HCC1806,0.1
paclitaxel,HCC1806,0.01
pd0325901,HCC1806,0.12
rapamycin,HCC1806,0.1
thapsigargin,HCC1806,0.02
vinblastine,HCC1806,0
vorinostat,HCC1806,2.58
bid1870,HCC1937,10
bortezomib,HCC1937,0.02
crizotinib,HCC1937,1
dasatinib,HCC1937,0.1
docetaxel,HCC1937,0.3
doxorubicin,HCC1937,2.59
erlotinib,HCC1937,10
gdc0941,HCC1937,10
gemcitabine,HCC1937,1
irinotecan,HCC1937,14.34
lapatinib,HCC1937,20
ms275,HCC1937,0.1
paclitaxel,HCC1937,3
pd0325901,HCC1937,20
rapamycin,HCC1937,0.1
thapsigargin,HCC1937,0.18
vinblastine,HCC1937,0.1
vorinostat,HCC1937,10
bid1870,HCC1954,10
bortezomib,HCC1954,0.02
crizotinib,HCC1954,1
dasatinib,HCC1954,0.1
docetaxel,HCC1954,0
doxorubicin,HCC1954,0.58
erlotinib,HCC1954,8.5
gdc0941,HCC1954,10
gemcitabine,HCC1954,1
irinotecan,HCC1954,20
lapatinib,HCC1954,1.4
ms275,HCC1954,0.1
paclitaxel,HCC1954,0.02
pd0325901,HCC1954,2.35
rapamycin,HCC1954,0.01
thapsigargin,HCC1954,0.09
vinblastine,HCC1954,0.01
vorinostat,HCC1954,3.75
bid1870,HCC2218,NaN
bortezomib,HCC2218,NaN
crizotinib,HCC2218,1
dasatinib,HCC2218,NaN
docetaxel,HCC2218,NaN
doxorubicin,HCC2218,NaN
erlotinib,HCC2218,10
gdc0941,HCC2218,NaN
gemcitabine,HCC2218,NaN
irinotecan,HCC2218,NaN
lapatinib,HCC2218,0.28
ms275,HCC2218,NaN
paclitaxel,HCC2218,0.28
pd0325901,HCC2218,20
rapamycin,HCC2218,NaN
thapsigargin,HCC2218,NaN
vinblastine,HCC2218,NaN
vorinostat,HCC2218,NaN
bid1870,HCC2935,NaN
bortezomib,HCC2935,NaN
crizotinib,HCC2935,NaN
dasatinib,HCC2935,0.1
docetaxel,HCC2935,NaN
doxorubicin,HCC2935,NaN
erlotinib,HCC2935,NaN
gdc0941,HCC2935,NaN
gemcitabine,HCC2935,NaN
irinotecan,HCC2935,NaN
lapatinib,HCC2935,NaN
ms275,HCC2935,NaN
paclitaxel,HCC2935,NaN
pd0325901,HCC2935,NaN
rapamycin,HCC2935,NaN
thapsigargin,HCC2935,NaN
vinblastine,HCC2935,0.1
vorinostat,HCC2935,NaN
bid1870,HCC38,10
bortezomib,HCC38,0.04
crizotinib,HCC38,1
dasatinib,HCC38,0.1
docetaxel,HCC38,0.01
doxorubicin,HCC38,0.28
erlotinib,HCC38,10
gdc0941,HCC38,10
gemcitabine,HCC38,0.01
irinotecan,HCC38,1.54
lapatinib,HCC38,20
ms275,HCC38,0.1
paclitaxel,HCC38,0.04
pd0325901,HCC38,20
rapamycin,HCC38,0.1
thapsigargin,HCC38,0.09
vinblastine,HCC38,0.1
vorinostat,HCC38,5.85
bid1870,HCC4006,10
bortezomib,HCC4006,0.09
crizotinib,HCC4006,1
dasatinib,HCC4006,NaN
docetaxel,HCC4006,0.01
doxorubicin,HCC4006,0.55
erlotinib,HCC4006,0.03
gdc0941,HCC4006,10
gemcitabine,HCC4006,1
irinotecan,HCC4006,20
lapatinib,HCC4006,0.65
ms275,HCC4006,0.1
paclitaxel,HCC4006,0.01
pd0325901,HCC4006,1.01
rapamycin,HCC4006,0.1
thapsigargin,HCC4006,0.05
vinblastine,HCC4006,NaN
vorinostat,HCC4006,3.5
bid1870,HCC44,10
bortezomib,HCC44,0.03
crizotinib,HCC44,1
dasatinib,HCC44,0.08
docetaxel,HCC44,0.01
doxorubicin,HCC44,0.29
erlotinib,HCC44,10
gdc0941,HCC44,10
gemcitabine,HCC44,0.01
irinotecan,HCC44,2.88
lapatinib,HCC44,20
ms275,HCC44,0.1
paclitaxel,HCC44,0.01
pd0325901,HCC44,0.13
rapamycin,HCC44,0.1
thapsigargin,HCC44,0.02
vinblastine,HCC44,0.02
vorinostat,HCC44,1.77
bid1870,HCC78,10
bortezomib,HCC78,0.02
crizotinib,HCC78,0.37
dasatinib,HCC78,0.1
docetaxel,HCC78,0.01
doxorubicin,HCC78,0.19
erlotinib,HCC78,10
gdc0941,HCC78,10
gemcitabine,HCC78,0
irinotecan,HCC78,0.36
lapatinib,HCC78,14.97
ms275,HCC78,0.1
paclitaxel,HCC78,0.03
pd0325901,HCC78,20
rapamycin,HCC78,0.1
thapsigargin,HCC78,0.11
vinblastine,HCC78,0.05
vorinostat,HCC78,0.85
bid1870,HCC827,10
bortezomib,HCC827,0.04
crizotinib,HCC827,1
dasatinib,HCC827,NaN
docetaxel,HCC827,0.01
doxorubicin,HCC827,0.15
erlotinib,HCC827,0
gdc0941,HCC827,10
gemcitabine,HCC827,0.03
irinotecan,HCC827,5.35
lapatinib,HCC827,0.85
ms275,HCC827,0.1
paclitaxel,HCC827,0.02
pd0325901,HCC827,0.48
rapamycin,HCC827,0.1
thapsigargin,HCC827,0.1
vinblastine,HCC827,NaN
vorinostat,HCC827,1.38
bid1870,HCT 116,10
bortezomib,HCT 116,0.07
crizotinib,HCT 116,1
dasatinib,HCT 116,0.1
docetaxel,HCT 116,0.07
doxorubicin,HCT 116,0.55
erlotinib,HCT 116,10
gdc0941,HCT 116,10
gemcitabine,HCT 116,0
irinotecan,HCT 116,3.08
lapatinib,HCT 116,20
ms275,HCT 116,0.1
paclitaxel,HCT 116,0.27
pd0325901,HCT 116,20
rapamycin,HCT 116,0.1
thapsigargin,HCT 116,0.09
vinblastine,HCT 116,0.01
vorinostat,HCT 116,2.37
bid1870,HCT-15,10
bortezomib,HCT-15,0.02
crizotinib,HCT-15,1
dasatinib,HCT-15,0.1
docetaxel,HCT-15,0.05
doxorubicin,HCT-15,0.95
erlotinib,HCT-15,10
gdc0941,HCT-15,10
gemcitabine,HCT-15,0.01
irinotecan,HCT-15,3.02
lapatinib,HCT-15,3.16
ms275,HCT-15,0.1
paclitaxel,HCT-15,0.22
pd0325901,HCT-15,2.54
rapamycin,HCT-15,0.1
thapsigargin,HCT-15,0.2
vinblastine,HCT-15,0.1
vorinostat,HCT-15,2.78
bid1870,HDQ-P1,10
bortezomib,HDQ-P1,0.19
crizotinib,HDQ-P1,1
dasatinib,HDQ-P1,NaN
docetaxel,HDQ-P1,0.22
doxorubicin,HDQ-P1,1.9
erlotinib,HDQ-P1,10
gdc0941,HDQ-P1,10
gemcitabine,HDQ-P1,1
irinotecan,HDQ-P1,20
lapatinib,HDQ-P1,20
ms275,HDQ-P1,0.1
paclitaxel,HDQ-P1,0.12
pd0325901,HDQ-P1,0.18
rapamycin,HDQ-P1,0.1
thapsigargin,HDQ-P1,0.02
vinblastine,HDQ-P1,NaN
vorinostat,HDQ-P1,4.04
bid1870,HEC-151,10
bortezomib,HEC-151,0.12
crizotinib,HEC-151,1
dasatinib,HEC-151,NaN
docetaxel,HEC-151,0.01
doxorubicin,HEC-151,0.1
erlotinib,HEC-151,2.25
gdc0941,HEC-151,10
gemcitabine,HEC-151,0
irinotecan,HEC-151,3.15
lapatinib,HEC-151,2.69
ms275,HEC-151,0.1
paclitaxel,HEC-151,0.01
pd0325901,HEC-151,0.02
rapamycin,HEC-151,0.1
thapsigargin,HEC-151,0.06
vinblastine,HEC-151,NaN
vorinostat,HEC-151,1.24
bid1870,HEC-1-A,10
bortezomib,HEC-1-A,0.05
crizotinib,HEC-1-A,1
dasatinib,HEC-1-A,NaN
docetaxel,HEC-1-A,0.01
doxorubicin,HEC-1-A,0.2
erlotinib,HEC-1-A,10
gdc0941,HEC-1-A,10
gemcitabine,HEC-1-A,0.08
irinotecan,HEC-1-A,9.73
lapatinib,HEC-1-A,14.17
ms275,HEC-1-A,0.1
paclitaxel,HEC-1-A,0.02
pd0325901,HEC-1-A,1.45
rapamycin,HEC-1-A,0.1
thapsigargin,HEC-1-A,0.05
vinblastine,HEC-1-A,NaN
vorinostat,HEC-1-A,1.16
bid1870,HEC-1-B,10
bortezomib,HEC-1-B,0.03
crizotinib,HEC-1-B,1
dasatinib,HEC-1-B,NaN
docetaxel,HEC-1-B,0.3
doxorubicin,HEC-1-B,1.16
erlotinib,HEC-1-B,10
gdc0941,HEC-1-B,10
gemcitabine,HEC-1-B,1
irinotecan,HEC-1-B,20
lapatinib,HEC-1-B,9.57
ms275,HEC-1-B,0.1
paclitaxel,HEC-1-B,3
pd0325901,HEC-1-B,1.08
rapamycin,HEC-1-B,0.1
thapsigargin,HEC-1-B,0.12
vinblastine,HEC-1-B,NaN
vorinostat,HEC-1-B,1.72
bid1870,HEC-251,10
bortezomib,HEC-251,0.04
crizotinib,HEC-251,1
dasatinib,HEC-251,NaN
docetaxel,HEC-251,0.01
doxorubicin,HEC-251,0.48
erlotinib,HEC-251,10
gdc0941,HEC-251,10
gemcitabine,HEC-251,1
irinotecan,HEC-251,15.68
lapatinib,HEC-251,7.52
ms275,HEC-251,0.1
paclitaxel,HEC-251,0.02
pd0325901,HEC-251,20
rapamycin,HEC-251,0.1
thapsigargin,HEC-251,0.08
vinblastine,HEC-251,NaN
vorinostat,HEC-251,2.3
bid1870,HEC-265,10
bortezomib,HEC-265,0.09
crizotinib,HEC-265,1
dasatinib,HEC-265,NaN
docetaxel,HEC-265,0
doxorubicin,HEC-265,0.18
erlotinib,HEC-265,10
gdc0941,HEC-265,10
gemcitabine,HEC-265,0
irinotecan,HEC-265,3.57
lapatinib,HEC-265,10.93
ms275,HEC-265,0.1
paclitaxel,HEC-265,0
pd0325901,HEC-265,20
rapamycin,HEC-265,0.1
thapsigargin,HEC-265,0.09
vinblastine,HEC-265,NaN
vorinostat,HEC-265,1.64
bid1870,HEC-59,10
bortezomib,HEC-59,0.08
crizotinib,HEC-59,1
dasatinib,HEC-59,NaN
docetaxel,HEC-59,0.3
doxorubicin,HEC-59,0.47
erlotinib,HEC-59,10
gdc0941,HEC-59,10
gemcitabine,HEC-59,0.63
irinotecan,HEC-59,20
lapatinib,HEC-59,20
ms275,HEC-59,0.1
paclitaxel,HEC-59,3
pd0325901,HEC-59,20
rapamycin,HEC-59,0.1
thapsigargin,HEC-59,0.24
vinblastine,HEC-59,NaN
vorinostat,HEC-59,1.73
bid1870,HEC-6,10
bortezomib,HEC-6,0.06
crizotinib,HEC-6,1
dasatinib,HEC-6,NaN
docetaxel,HEC-6,0.3
doxorubicin,HEC-6,0.36
erlotinib,HEC-6,10
gdc0941,HEC-6,10
gemcitabine,HEC-6,0.02
irinotecan,HEC-6,5.28
lapatinib,HEC-6,20
ms275,HEC-6,0.1
paclitaxel,HEC-6,0.01
pd0325901,HEC-6,20
rapamycin,HEC-6,0.1
thapsigargin,HEC-6,0.08
vinblastine,HEC-6,NaN
vorinostat,HEC-6,0.59
bid1870,HEL,10
bortezomib,HEL,0.01
crizotinib,HEL,1
dasatinib,HEL,NaN
docetaxel,HEL,0.03
doxorubicin,HEL,0.29
erlotinib,HEL,10
gdc0941,HEL,10
gemcitabine,HEL,0
irinotecan,HEL,0.79
lapatinib,HEL,20
ms275,HEL,0.1
paclitaxel,HEL,0.06
pd0325901,HEL,20
rapamycin,HEL,0.1
thapsigargin,HEL,0.14
vinblastine,HEL,NaN
vorinostat,HEL,0.7
bid1870,Hep 3B2.1-7,10
bortezomib,Hep 3B2.1-7,0.07
crizotinib,Hep 3B2.1-7,1
dasatinib,Hep 3B2.1-7,NaN
docetaxel,Hep 3B2.1-7,0.18
doxorubicin,Hep 3B2.1-7,0.89
erlotinib,Hep 3B2.1-7,10
gdc0941,Hep 3B2.1-7,10
gemcitabine,Hep 3B2.1-7,1
irinotecan,Hep 3B2.1-7,20
lapatinib,Hep 3B2.1-7,5.66
ms275,Hep 3B2.1-7,0.1
paclitaxel,Hep 3B2.1-7,0.25
pd0325901,Hep 3B2.1-7,0.17
rapamycin,Hep 3B2.1-7,0.1
thapsigargin,Hep 3B2.1-7,0.02
vinblastine,Hep 3B2.1-7,NaN
vorinostat,Hep 3B2.1-7,1.88
bid1870,Hep G2,10
bortezomib,Hep G2,0.02
crizotinib,Hep G2,1
dasatinib,Hep G2,NaN
docetaxel,Hep G2,0.3
doxorubicin,Hep G2,6.1
erlotinib,Hep G2,10
gdc0941,Hep G2,10
gemcitabine,Hep G2,1
irinotecan,Hep G2,20
lapatinib,Hep G2,9.23
ms275,Hep G2,0.1
paclitaxel,Hep G2,3
pd0325901,Hep G2,0
rapamycin,Hep G2,0.1
thapsigargin,Hep G2,1
vinblastine,Hep G2,NaN
vorinostat,Hep G2,2.88
bid1870,HGC-27,10
bortezomib,HGC-27,0.04
crizotinib,HGC-27,0.88
dasatinib,HGC-27,NaN
docetaxel,HGC-27,0.01
doxorubicin,HGC-27,0.29
erlotinib,HGC-27,10
gdc0941,HGC-27,0.08
gemcitabine,HGC-27,1
irinotecan,HGC-27,8.75
lapatinib,HGC-27,6.46
ms275,HGC-27,0.1
paclitaxel,HGC-27,0.02
pd0325901,HGC-27,20
rapamycin,HGC-27,0
thapsigargin,HGC-27,0.01
vinblastine,HGC-27,NaN
vorinostat,HGC-27,0.7
bid1870,HH,NaN
bortezomib,HH,NaN
crizotinib,HH,NaN
dasatinib,HH,0.1
docetaxel,HH,NaN
doxorubicin,HH,NaN
erlotinib,HH,NaN
gdc0941,HH,NaN
gemcitabine,HH,NaN
irinotecan,HH,NaN
lapatinib,HH,NaN
ms275,HH,NaN
paclitaxel,HH,NaN
pd0325901,HH,NaN
rapamycin,HH,NaN
thapsigargin,HH,NaN
vinblastine,HH,0.01
vorinostat,HH,NaN
bid1870,HL-60,NaN
bortezomib,HL-60,NaN
crizotinib,HL-60,NaN
dasatinib,HL-60,NaN
docetaxel,HL-60,NaN
doxorubicin,HL-60,NaN
erlotinib,HL-60,NaN
gdc0941,HL-60,NaN
gemcitabine,HL-60,NaN
irinotecan,HL-60,NaN
lapatinib,HL-60,NaN
ms275,HL-60,NaN
paclitaxel,HL-60,NaN
pd0325901,HL-60,NaN
rapamycin,HL-60,NaN
thapsigargin,HL-60,NaN
vinblastine,HL-60,NaN
vorinostat,HL-60,NaN
bid1870,HLF,10
bortezomib,HLF,0.05
crizotinib,HLF,1
dasatinib,HLF,NaN
docetaxel,HLF,0.04
doxorubicin,HLF,0.32
erlotinib,HLF,10
gdc0941,HLF,10
gemcitabine,HLF,0
irinotecan,HLF,1.35
lapatinib,HLF,20
ms275,HLF,0.1
paclitaxel,HLF,0.14
pd0325901,HLF,20
rapamycin,HLF,0
thapsigargin,HLF,0.06
vinblastine,HLF,NaN
vorinostat,HLF,2.11
bid1870,HMVII,10
bortezomib,HMVII,0.04
crizotinib,HMVII,1
dasatinib,HMVII,NaN
docetaxel,HMVII,0.3
doxorubicin,HMVII,0.98
erlotinib,HMVII,10
gdc0941,HMVII,10
gemcitabine,HMVII,1
irinotecan,HMVII,14.26
lapatinib,HMVII,12.48
ms275,HMVII,0.1
paclitaxel,HMVII,3
pd0325901,HMVII,0.01
rapamycin,HMVII,0.1
thapsigargin,HMVII,1
vinblastine,HMVII,NaN
vorinostat,HMVII,3.95
bid1870,HN,10
bortezomib,HN,0.02
crizotinib,HN,1
dasatinib,HN,NaN
docetaxel,HN,0.3
doxorubicin,HN,0.24
erlotinib,HN,10
gdc0941,HN,10
gemcitabine,HN,0.01
irinotecan,HN,1.93
lapatinib,HN,2.88
ms275,HN,0.1
paclitaxel,HN,0.01
pd0325901,HN,2.95
rapamycin,HN,0
thapsigargin,HN,0.02
vinblastine,HN,NaN
vorinostat,HN,1.46
bid1870,HOP-62,10
bortezomib,HOP-62,0.17
crizotinib,HOP-62,1
dasatinib,HOP-62,0.1
docetaxel,HOP-62,0.01
doxorubicin,HOP-62,0.14
erlotinib,HOP-62,10
gdc0941,HOP-62,10
gemcitabine,HOP-62,0
irinotecan,HOP-62,0.72
lapatinib,HOP-62,10.41
ms275,HOP-62,0.1
paclitaxel,HOP-62,0.03
pd0325901,HOP-62,8.48
rapamycin,HOP-62,0.1
thapsigargin,HOP-62,0.04
vinblastine,HOP-62,0.02
vorinostat,HOP-62,1.26
bid1870,HOP-92,10
bortezomib,HOP-92,0.04
crizotinib,HOP-92,1
dasatinib,HOP-92,0.1
docetaxel,HOP-92,0.03
doxorubicin,HOP-92,0.18
erlotinib,HOP-92,10
gdc0941,HOP-92,10
gemcitabine,HOP-92,0.02
irinotecan,HOP-92,2.76
lapatinib,HOP-92,20
ms275,HOP-92,0.1
paclitaxel,HOP-92,0.05
pd0325901,HOP-92,0.41
rapamycin,HOP-92,0.1
thapsigargin,HOP-92,0.05
vinblastine,HOP-92,0.1
vorinostat,HOP-92,1.76
bid1870,HPAC,10
bortezomib,HPAC,0.02
crizotinib,HPAC,0.74
dasatinib,HPAC,NaN
docetaxel,HPAC,0.02
doxorubicin,HPAC,0.16
erlotinib,HPAC,10
gdc0941,HPAC,10
gemcitabine,HPAC,1
irinotecan,HPAC,11.94
lapatinib,HPAC,5.16
ms275,HPAC,0.1
paclitaxel,HPAC,0.05
pd0325901,HPAC,0.05
rapamycin,HPAC,0.1
thapsigargin,HPAC,0.04
vinblastine,HPAC,NaN
vorinostat,HPAC,3.23
bid1870,HPAF-II,10
bortezomib,HPAF-II,0.02
crizotinib,HPAF-II,1
dasatinib,HPAF-II,NaN
docetaxel,HPAF-II,0.3
doxorubicin,HPAF-II,0.85
erlotinib,HPAF-II,10
gdc0941,HPAF-II,10
gemcitabine,HPAF-II,1
irinotecan,HPAF-II,8.98
lapatinib,HPAF-II,20
ms275,HPAF-II,0.1
paclitaxel,HPAF-II,0.07
pd0325901,HPAF-II,0.1
rapamycin,HPAF-II,0.1
thapsigargin,HPAF-II,0.08
vinblastine,HPAF-II,NaN
vorinostat,HPAF-II,5.08
bid1870,Hs 294T,10
bortezomib,Hs 294T,0.02
crizotinib,Hs 294T,1
dasatinib,Hs 294T,0.1
docetaxel,Hs 294T,0
doxorubicin,Hs 294T,0.16
erlotinib,Hs 294T,5.95
gdc0941,Hs 294T,10
gemcitabine,Hs 294T,0
irinotecan,Hs 294T,1.77
lapatinib,Hs 294T,7.1
ms275,Hs 294T,0.1
paclitaxel,Hs 294T,0.01
pd0325901,Hs 294T,0.08
rapamycin,Hs 294T,0.1
thapsigargin,Hs 294T,0.04
vinblastine,Hs 294T,0.01
vorinostat,Hs 294T,1.32
bid1870,Hs 578T,10
bortezomib,Hs 578T,0.01
crizotinib,Hs 578T,1
dasatinib,Hs 578T,0.08
docetaxel,Hs 578T,0
doxorubicin,Hs 578T,0.62
erlotinib,Hs 578T,10
gdc0941,Hs 578T,10
gemcitabine,Hs 578T,1
irinotecan,Hs 578T,20
lapatinib,Hs 578T,17.2
ms275,Hs 578T,0.1
paclitaxel,Hs 578T,0.01
pd0325901,Hs 578T,20
rapamycin,Hs 578T,0.1
thapsigargin,Hs 578T,0.05
vinblastine,Hs 578T,0.02
vorinostat,Hs 578T,3.82
bid1870,Hs 683,10
bortezomib,Hs 683,0.05
crizotinib,Hs 683,1
dasatinib,Hs 683,0.1
docetaxel,Hs 683,0
doxorubicin,Hs 683,0.27
erlotinib,Hs 683,10
gdc0941,Hs 683,10
gemcitabine,Hs 683,0.02
irinotecan,Hs 683,2.44
lapatinib,Hs 683,7.82
ms275,Hs 683,0.1
paclitaxel,Hs 683,0.01
pd0325901,Hs 683,8
rapamycin,Hs 683,0.1
thapsigargin,Hs 683,0.02
vinblastine,Hs 683,0.02
vorinostat,Hs 683,2.85
bid1870,Hs 695T,10
bortezomib,Hs 695T,0.02
crizotinib,Hs 695T,1
dasatinib,Hs 695T,NaN
docetaxel,Hs 695T,0.02
doxorubicin,Hs 695T,0.45
erlotinib,Hs 695T,10
gdc0941,Hs 695T,10
gemcitabine,Hs 695T,0.01
irinotecan,Hs 695T,2.25
lapatinib,Hs 695T,20
ms275,Hs 695T,0.1
paclitaxel,Hs 695T,0.05
pd0325901,Hs 695T,0.11
rapamycin,Hs 695T,0.1
thapsigargin,Hs 695T,0.22
vinblastine,Hs 695T,NaN
vorinostat,Hs 695T,1.78
bid1870,Hs 746T,10
bortezomib,Hs 746T,0.04
crizotinib,Hs 746T,0.03
dasatinib,Hs 746T,NaN
docetaxel,Hs 746T,0.01
doxorubicin,Hs 746T,0.53
erlotinib,Hs 746T,10
gdc0941,Hs 746T,10
gemcitabine,Hs 746T,1
irinotecan,Hs 746T,9.58
lapatinib,Hs 746T,16.56
ms275,Hs 746T,0.1
paclitaxel,Hs 746T,0.03
pd0325901,Hs 746T,0.78
rapamycin,Hs 746T,0.1
thapsigargin,Hs 746T,1
vinblastine,Hs 746T,NaN
vorinostat,Hs 746T,1.64
bid1870,Hs 766T,10
bortezomib,Hs 766T,0.03
crizotinib,Hs 766T,1
dasatinib,Hs 766T,NaN
docetaxel,Hs 766T,0.3
doxorubicin,Hs 766T,0.84
erlotinib,Hs 766T,10
gdc0941,Hs 766T,10
gemcitabine,Hs 766T,1
irinotecan,Hs 766T,14.49
lapatinib,Hs 766T,20
ms275,Hs 766T,0.1
paclitaxel,Hs 766T,3
pd0325901,Hs 766T,0
rapamycin,Hs 766T,0.1
thapsigargin,Hs 766T,0.03
vinblastine,Hs 766T,NaN
vorinostat,Hs 766T,3.1
bid1870,Hs 852.T,10
bortezomib,Hs 852.T,0.07
crizotinib,Hs 852.T,1
dasatinib,Hs 852.T,NaN
docetaxel,Hs 852.T,0.02
doxorubicin,Hs 852.T,0.77
erlotinib,Hs 852.T,10
gdc0941,Hs 852.T,10
gemcitabine,Hs 852.T,1
irinotecan,Hs 852.T,20
lapatinib,Hs 852.T,20
ms275,Hs 852.T,0.1
paclitaxel,Hs 852.T,0.05
pd0325901,Hs 852.T,0.17
rapamycin,Hs 852.T,0.1
thapsigargin,Hs 852.T,0.08
vinblastine,Hs 852.T,NaN
vorinostat,Hs 852.T,3.91
bid1870,HT,10
bortezomib,HT,0.11
crizotinib,HT,1
dasatinib,HT,0.1
docetaxel,HT,0
doxorubicin,HT,0.21
erlotinib,HT,10
gdc0941,HT,10
gemcitabine,HT,0.01
irinotecan,HT,5.51
lapatinib,HT,20
ms275,HT,0.1
paclitaxel,HT,0.01
pd0325901,HT,20
rapamycin,HT,0
thapsigargin,HT,0.06
vinblastine,HT,0.01
vorinostat,HT,1.21
bid1870,HT-1080,10
bortezomib,HT-1080,0.02
crizotinib,HT-1080,1
dasatinib,HT-1080,0.1
docetaxel,HT-1080,0.01
doxorubicin,HT-1080,0.11
erlotinib,HT-1080,10
gdc0941,HT-1080,10
gemcitabine,HT-1080,0
irinotecan,HT-1080,1.75
lapatinib,HT-1080,5.5
ms275,HT-1080,0.1
paclitaxel,HT-1080,0.02
pd0325901,HT-1080,0.56
rapamycin,HT-1080,0.1
thapsigargin,HT-1080,0.01
vinblastine,HT-1080,0
vorinostat,HT-1080,0.95
bid1870,HT-29,10
bortezomib,HT-29,0.02
crizotinib,HT-29,1
dasatinib,HT-29,NaN
docetaxel,HT-29,0.01
doxorubicin,HT-29,0.68
erlotinib,HT-29,10
gdc0941,HT-29,10
gemcitabine,HT-29,0.1
irinotecan,HT-29,8.74
lapatinib,HT-29,4.35
ms275,HT-29,0.1
paclitaxel,HT-29,0.02
pd0325901,HT-29,0.01
rapamycin,HT-29,0.1
thapsigargin,HT-29,0.02
vinblastine,HT-29,NaN
vorinostat,HT-29,1.35
bid1870,HT-3,10
bortezomib,HT-3,0.05
crizotinib,HT-3,1
dasatinib,HT-3,NaN
docetaxel,HT-3,0.02
doxorubicin,HT-3,0.62
erlotinib,HT-3,10
gdc0941,HT-3,10
gemcitabine,HT-3,0.01
irinotecan,HT-3,0.94
lapatinib,HT-3,10.26
ms275,HT-3,0.1
paclitaxel,HT-3,0.05
pd0325901,HT-3,0.66
rapamycin,HT-3,0.1
thapsigargin,HT-3,0.05
vinblastine,HT-3,NaN
vorinostat,HT-3,1.41
bid1870,HT-55,10
bortezomib,HT-55,0.04
crizotinib,HT-55,1
dasatinib,HT-55,NaN
docetaxel,HT-55,0.17
doxorubicin,HT-55,1.11
erlotinib,HT-55,10
gdc0941,HT-55,10
gemcitabine,HT-55,1
irinotecan,HT-55,20
lapatinib,HT-55,20
ms275,HT-55,0.1
paclitaxel,HT-55,0.26
pd0325901,HT-55,0.05
rapamycin,HT-55,0.1
thapsigargin,HT-55,0.19
vinblastine,HT-55,NaN
vorinostat,HT-55,3.48
bid1870,HuCCT1,10
bortezomib,HuCCT1,0.02
